### Energy [MeV],Low dEdx [MeV*cm2/g],High dEdx [MeV*cm2/g]
1.022,27.0456,32.875
1.023,27.0456,32.849
1.024,27.0456,32.823
1.025,27.0456,32.797
1.026,27.0456,32.7711
1.027,27.0456,32.7453
1.028,27.0456,32.7194
1.029,27.0456,32.6937
1.03,27.0456,32.6679
1.031,27.0456,32.6422
1.032,27.0456,32.6166
1.033,27.0456,32.591
1.034,27.0456,32.5654
1.035,27.0456,32.5399
1.036,27.0456,32.5144
1.037,27.0456,32.4889
1.038,27.0456,32.4635
1.039,27.0456,32.4382
1.04,27.0456,32.4128
1.041,27.0456,32.3875
1.042,27.0456,32.3623
1.043,27.0456,32.3371
1.044,27.0456,32.3119
1.045,27.0456,32.2868
1.046,27.0456,32.2617
1.047,27.0456,32.2367
1.048,27.0456,32.2117
1.049,27.0456,32.1867
1.05,27.0456,32.1618
1.051,27.0456,32.1369
1.052,27.0456,32.1121
1.053,27.0456,32.0872
1.054,27.0456,32.0625
1.055,27.0456,32.0377
1.056,27.0456,32.0131
1.057,27.0456,31.9884
1.058,27.0456,31.9638
1.059,27.0456,31.9392
1.06,27.0456,31.9147
1.061,27.0456,31.8902
1.062,27.0456,31.8657
1.063,27.0456,31.8413
1.064,27.0456,31.8169
1.065,27.0456,31.7926
1.066,27.0456,31.7683
1.067,27.0456,31.744
1.068,27.0456,31.7198
1.069,27.0456,31.6956
1.07,27.0456,31.6715
1.071,27.0456,31.6474
1.072,27.0456,31.6233
1.073,27.0456,31.5992
1.074,27.0456,31.5752
1.075,27.0456,31.5513
1.076,27.0456,31.5274
1.077,27.0456,31.5035
1.078,27.0456,31.4796
1.079,27.0456,31.4558
1.08,27.0456,31.432
1.081,27.0456,31.4083
1.082,27.0456,31.3846
1.083,27.0456,31.3609
1.084,27.0456,31.3373
1.085,27.0456,31.3137
1.086,27.0456,31.2902
1.087,27.0456,31.2666
